timems,x,y,theta,vx,vy
1464190844774,0.27723944187164307,-0.2737780213356018,5.525306224822998,0.09719698131084442,-0.008264593780040741
1464190844774,0.27868202328681946,-0.2751433253288269,5.524181365966797,0.09755058586597443,-0.00862114503979683
1464190844819,0.28006014227867126,-0.2764505445957184,5.523268222808838,0.09786569327116013,-0.008802862837910652
1464190844819,0.28185245394706726,-0.27815377712249756,5.52263879776001,0.09827782958745956,-0.009064476005733013
1464190844819,0.282663494348526,-0.27892547845840454,5.52225923538208,0.09843868762254715,-0.009171999990940094
1464190844822,0.2839924395084381,-0.28019091486930847,5.522085189819336,0.09873326867818832,-0.00924245361238718
1464190844847,0.2847779095172882,-0.28093910217285156,5.5231194496154785,0.09885372966527939,-0.009192791767418385
1464190844887,0.28831058740615845,-0.2842971980571747,5.525714874267578,0.09938877075910568,-0.008791212923824787
1464190844888,0.2896420955657959,-0.2855563461780548,5.525998592376709,0.09976141154766083,-0.009012674912810326
1464190844888,0.2913229167461395,-0.2871449291706085,5.52567720413208,0.10029647499322891,-0.009159548208117485
1464190844938,0.29264870285987854,-0.28839877247810364,5.524777412414551,0.10078296810388565,-0.00911774579435587
1464190844938,0.2941497564315796,-0.28982090950012207,5.525062561035156,0.10129676014184952,-0.009202072396874428
1464190844938,0.2972038686275482,-0.2927128076553345,5.526080131530762,0.10187537968158722,-0.009036092087626457
1464190844976,0.29867279529571533,-0.29410088062286377,5.523598670959473,0.10221080482006073,-0.009992048144340515
1464190844976,0.2993527054786682,-0.2947465777397156,5.525752544403076,0.10204440355300903,-0.009386574849486351
1464190844976,0.29990386962890625,-0.2952677309513092,5.5273261070251465,0.10197370499372482,-0.008889454416930676
1464190845033,0.31020382046699524,-0.3049764633178711,5.523074626922607,0.10371164977550507,-0.009754907339811325
1464190845072,0.3139675557613373,-0.3085545003414154,5.53693151473999,0.10411322861909866,-0.0061621577478945255
1464190845111,0.3145184814929962,-0.3090638816356659,5.538239479064941,0.10412584990262985,-0.005805411376059055
1464190845111,0.3155040144920349,-0.30997273325920105,5.5389323234558105,0.10443809628486633,-0.005903114564716816
1464190845153,0.31637251377105713,-0.310772567987442,5.537789344787598,0.10465669631958008,-0.006010426674038172
1464190845155,0.32093432545661926,-0.3149832785129547,5.534876823425293,0.10549834370613098,-0.0069465963169932365
1464190845191,0.3248074948787689,-0.3185792863368988,5.540003299713135,0.10608823597431183,-0.0054656993597745895
1464190845235,0.3255861699581146,-0.31929484009742737,5.539582252502441,0.10622937232255936,-0.0057113291695714
1464190845235,0.328243613243103,-0.32173895835876465,5.53722620010376,0.10665813088417053,-0.00633604172617197
1464190845235,0.32869547605514526,-0.32215651869773865,5.5379743576049805,0.1065787672996521,-0.006315266713500023
1464190845235,0.3296777307987213,-0.32306283712387085,5.53769588470459,0.1066446304321289,-0.00625577149912715
1464190845288,0.33249130845069885,-0.3256603479385376,5.536233901977539,0.10707977414131165,-0.006734247785061598
1464190845289,0.3339087963104248,-0.3269728124141693,5.535703659057617,0.10745230317115784,-0.006945177912712097
1464190845325,0.3356524109840393,-0.32858896255493164,5.543580532073975,0.10611889511346817,-0.00540228933095932
1464190845365,0.33787232637405396,-0.3306143283843994,5.542888164520264,0.10652096569538116,-0.005708507262170315
1464190845365,0.3390824794769287,-0.3317199647426605,5.543107986450195,0.10692211240530014,-0.005634637549519539
1464190845411,0.34065306186676025,-0.33315426111221313,5.54160213470459,0.1074998751282692,-0.005841523874551058
1464190845432,0.34262213110923767,-0.33495792746543884,5.552012920379639,0.10740828514099121,-0.00332392705604434
1464190845472,0.3448256254196167,-0.33693453669548035,5.560792446136475,0.10732661932706833,-0.0013113494496792555
1464190845511,0.34838002920150757,-0.340067058801651,5.561445236206055,0.10763616859912872,-0.0007597963558509946
1464190845511,0.3495990037918091,-0.34113994240760803,5.560493469238281,0.1078248918056488,-0.0010360254673287272
1464190845552,0.35459089279174805,-0.34554198384284973,5.559939384460449,0.10831651836633682,-0.0011933844070881605
1464190845562,0.3567635715007782,-0.3474600911140442,5.564332008361816,0.10827749222517014,-0.00014631322119385004
1464190845600,0.3574451804161072,-0.34805652499198914,5.563543796539307,0.10823338478803635,-6.14089221926406e-05
1464190845639,0.3594636917114258,-0.3498256206512451,5.560878276824951,0.10848303139209747,-0.0004429907421581447
1464190845639,0.360611230134964,-0.35083678364753723,5.560324192047119,0.10865553468465805,4.580624226946384e-05
1464190845639,0.36204054951667786,-0.35209763050079346,5.559359073638916,0.10898115485906601,0.000241788467974402
1464190845687,0.36322221159935,-0.35314205288887024,5.558400630950928,0.10918599367141724,0.00036591480602510273
1464190845687,0.3656601011753082,-0.35530099272727966,5.557251930236816,0.10955841839313507,0.00045952675282023847
1464190845687,0.3674841821193695,-0.3569200932979584,5.555580139160156,0.10968660563230515,0.0002781943476293236
1464190845687,0.36861568689346313,-0.3579278290271759,5.5565948486328125,0.10981125384569168,0.0003567548410501331
1464190845724,0.3691225051879883,-0.3583782911300659,5.558589935302734,0.10974306613206863,0.0009026777115650475
1464190845724,0.3696627914905548,-0.35885655879974365,5.558938980102539,0.10966595262289047,0.0008713885326869786
1464190845724,0.37027305364608765,-0.35939639806747437,5.561936855316162,0.10958930850028992,0.001316475565545261
1464190845724,0.37149009108543396,-0.36046651005744934,5.562506675720215,0.10979349911212921,0.001555973314680159
1464190845724,0.3729146122932434,-0.3617176115512848,5.561951637268066,0.10999492555856705,0.0018600517651066184
1464190845724,0.3740833103656769,-0.3627451956272125,5.561660289764404,0.11023098230361938,0.0013046810636296868
1464190845767,0.3754284679889679,-0.3639286160469055,5.561142921447754,0.11055909097194672,0.0012992194388061762
